Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#356025000000,356025,CR131 UPPER LAKE RD from OVID TN LN to W WYCOFF RD,Seneca,UPPER LAKE RD,0.76,1.72,Rural:Local,42.630086,-76.843762,2024,Estimated,368,,,,0.11,0.57,Short Term
#356026000000,356026,CR105A MAYS POINT RD from NY 89 to END,Seneca,MAYS POINT RD,0,0.34,Rural:Local,42.996374,-76.761908,2024,Estimated,96,,,,0.14,0.53,Short Term
#356027000000,356027,CR136A MILL ST from NY 414 to W SENECA ST,Seneca,MILL ST,0,0.98,Rural:Local,42.60739,-76.83377,2024,Actual,54,,,,0.15,0.63,Short Term
#356028000000,356028,CR105 ARMITAGE RD from CR101 GRAVEL RD to BEG WAYNE CR373,Seneca,ARMITAGE RD,0,1.06,Rural:Local,43.02076,-76.80602,2024,Actual,238,,,,0.13,0.68,Short Term
#356029000000,356029,BRIDGE ST from OVID ST to WATER ST,Seneca,BRIDGE ST,0,0.82,Urban:Major Collector,42.904665,-76.80013,2024,Estimated,2132,,,,0.09,0.56,Short Term
#356030000000,356030,RUMSEY ST from WEST BAYARD ST to FALL ST,Seneca,RUMSEY ST,0,0.19,Urban:Major Collector,42.90999,-76.80596,2024,Estimated,3491,,,,0.08,0.59,Short Term
#356033000000,356033,LOCUST ST from MAIN ST to DEAD END,Seneca,LOCUST ST,0,0.21,Urban:Major Collector,42.9027,-76.86617,2024,Actual,74,,,,0.16,0.5,Short Term
#356035000000,356035,CR107 WHISKEY HILL RD from NY318 to CR106 DUBLIN RD,Seneca,WHISKEY HILL RD,2.12,5.06,Rural:Minor Collector,42.9579,-76.90464,2024,Actual,800,,81,7,0.11,0.57,Short Term
#356036000000,356036,STONE CHURCH RD from NY 318 to CR 106,Seneca,STONE CHURCH RD,0,3.08,Rural:Local,42.96525,-76.88164,2024,Estimated,128,,,,0.14,0.5,Short Term
#356037000000,356037,MIDDLE BLACK BR from NY318 to W TRYE RD,Seneca,MIDDLE BLACK BR,0,2.93,Rural:Local,42.97352,-76.8169,2024,Estimated,109,,,,0.14,0.5,Short Term
